"","img","bath","sensor","range","time","date","r","g","b","h","s","v","date.time","gray"
"107",107,29.8,30.5,"1535","12:59:05","03/02/2020",0.90100322,0.68514585,0.04769915,0.1245056,0.94706,0.9010032,2020-02-03 12:59:05,0.687396498433314
"108",108,29.8,30.5,"1545","12:59:25","03/02/2020",0.84308354,0.32046338,0.09890498,0.04962035,0.88268662,0.84308354,2020-02-03 12:59:25,0.47197587272959
"109",109,29.8,30.4,"2045","12:59:45","03/02/2020",0.7976356,0.216873,0.2979257,0.9767396,0.7281052,0.7976356,2020-02-03 12:59:45,0.416534895126301
"110",110,29.8,30.6,"2545","13:00:10","03/02/2020",0.68373488,0.07713467,0.54382229,0.8717751,0.8871863,0.6837349,2020-02-03 13:00:10,0.363402020943228
"111",111,30.2,31,"1535","13:02:15","03/02/2020",0.90141084,0.70378049,0.05370103,0.1278109,0.9404256,0.9014108,2020-02-03 13:02:15,0.696762990446557
"112",112,30.2,30.7,"1545","13:02:35","03/02/2020",0.84804929,0.33271261,0.08521902,0.05407354,0.89951172,0.84804929,2020-02-03 13:02:35,0.465624982433305
"113",113,30.2,30.6,"2045","13:03:00","03/02/2020",0.8055347,0.2304972,0.2658235,0.9897612,0.7138581,0.8055347,2020-02-03 13:03:00,0.40070277341017
"114",114,30.2,30.7,"2545","13:03:30","03/02/2020",0.69509254,0.08195597,0.53828653,0.8759573,0.8820934,0.6950925,2020-02-03 13:03:30,0.343149227413463
"115",115,30.6,31.2,"1535","13:05:45","03/02/2020",0.90111466,0.72940604,0.05491047,0.1328473,0.9390638,0.9011147,2020-02-03 13:05:45,0.713948562889519
"116",116,30.6,31.1,"1545","13:06:05","03/02/2020",0.85179503,0.34331626,0.07896903,0.05700879,0.90729105,0.85179503,2020-02-03 13:06:05,0.487446443680579
"117",117,30.6,31.1,"2045","13:06:20","03/02/2020",0.8112592,0.2442178,0.2364981,0.002238522,0.708480254,0.81125923,2020-02-03 13:06:20,0.415733606985075
"118",118,30.6,31.1,"2545","13:06:40","03/02/2020",0.7277467,0.1079076,0.5030835,0.8937423,0.8517237,0.7277467,2020-02-03 13:06:40,0.35918273340998
"119",119,31,32.2,"1535","13:10:50","03/02/2020",0.9003361,0.7929278,0.1272451,0.1435111,0.8586693,0.9003361,2020-02-03 13:10:50,0.748122037051337
"120",120,31.3,32.5,"1545","13:11:35","03/02/2020",0.86941156,0.39361892,0.05856361,0.06886933,0.93263995,0.86941156,2020-02-03 13:11:35,0.478981603201132
"121",121,31.4,32.1,"2045","13:11:50","03/02/2020",0.8418795,0.3150604,0.1038715,0.04769345,0.87661946,0.84187947,2020-02-03 13:11:50,0.459958380472809
"122",122,31.4,32.2,"2545","13:12:40","03/02/2020",0.7712168,0.1690721,0.3999172,0.9361048,0.7807723,0.7712168,2020-02-03 13:12:40,0.389435790416561
"123",123,31.6,32.2,"1535","13:15:00","03/02/2020",0.9004734,0.787123,0.1120492,0.1427053,0.8755663,0.9004734,2020-02-03 13:15:00,0.742304025912538
"124",124,31.6,32.2,"1545","13:16:20","03/02/2020",0.87000481,0.39891997,0.05729539,0.07005878,0.9341436,0.87000481,2020-02-03 13:16:20,0.494725742398857
"125",125,31.6,32.2,"2045","13:16:45","03/02/2020",0.84340927,0.32160271,0.09657644,0.0502179,0.8854928,0.8434093,2020-02-03 13:16:45,0.453173616583693
"126",126,31.6,32.3,"2545","13:17:10","03/02/2020",0.7852133,0.1920974,0.3546472,0.9543232,0.7553564,0.7852133,2020-02-03 13:17:10,0.409498302411973
"127",127,32,32.9,"1535","13:19:00","03/02/2020",0.9002855,0.7921355,0.1547749,0.1424886,0.8280824,0.9002855,2020-02-03 13:19:00,0.726320908831943
"128",128,32,32.6,"1545","13:19:35","03/02/2020",0.873418,0.4126476,0.0580838,0.07247822,0.93349828,0.87341803,2020-02-03 13:19:35,0.512391015790557
"129",129,32,32.3,"2045","13:20:10","03/02/2020",0.84672727,0.33119353,0.08837241,0.05336577,0.89563061,0.84672727,2020-02-03 13:20:10,0.469443105879003
"130",130,32,32.3,"2545","13:20:40","03/02/2020",0.7837762,0.192324,0.3544391,0.9543172,0.7546187,0.7837762,2020-02-03 13:20:40,0.401604507352957
"131",131,32.4,32.8,"1535","13:23:10","03/02/2020",0.900055,0.8154242,0.1834041,0.1469846,0.7962301,0.900055,2020-02-03 13:23:10,0.741075007750466
"132",132,32.4,32.5,"1545","13:23:40","03/02/2020",0.87512526,0.42217729,0.05570299,0.07453916,0.93634855,0.87512526,2020-02-03 13:23:40,0.533266178304162
"133",133,32.4,32.6,"2045","13:24:15","03/02/2020",0.85419051,0.35214213,0.07122598,0.05979755,0.91661582,0.85419051,2020-02-03 13:24:15,0.453427213581267
"134",134,32.4,32.6,"2545","13:24:40","03/02/2020",0.8000741,0.2232022,0.2829224,0.982746,0.7210231,0.8000741,2020-02-03 13:24:40,0.398757818885228
"135",135,32.9,32.9,"1535","13:27:40","03/02/2020",0.8996108,0.8308773,0.2571902,0.1488348,0.7141095,0.8996108,2020-02-03 13:27:40,0.781022009210766
"136",136,32.9,33.2,"1545","13:28:10","03/02/2020",0.87720682,0.44387961,0.05696131,0.07861839,0.93506513,0.87720682,2020-02-03 13:28:10,0.533008830869985
"137",137,32.9,33.1,"2045","13:28:30","03/02/2020",0.8603689,0.37131465,0.06950558,0.06360329,0.91921421,0.8603689,2020-02-03 13:28:30,0.482264308883249
"138",138,32.9,33.1,"2545","13:28:55","03/02/2020",0.8110973,0.249192,0.2213812,0.007859933,0.727059618,0.811097263,2020-02-03 13:28:55,0.420375677292306
"139",139,33.4,33.7,"1535","13:31:50","03/02/2020",0.8993793,0.8392982,0.3173862,0.1494611,0.6471053,0.8993793,2020-02-03 13:31:50,0.779023702709819
"140",140,33.4,33.5,"1545","13:32:15","03/02/2020",0.8803436,0.46474007,0.05522856,0.08271806,0.93726477,0.8803436,2020-02-03 13:32:15,0.527175089549731
"141",141,33.4,33.4,"2045","13:33:10","03/02/2020",0.86550735,0.38725497,0.06371363,0.06725365,0.9263858,0.86550735,2020-02-03 13:33:10,0.48385748221072
"142",142,33.4,33.5,"2545","13:33:40","03/02/2020",0.8278619,0.2847185,0.1557563,0.03197964,0.81185713,0.82786185,2020-02-03 13:33:40,0.428936057641393
"143",143,34,33.9,"1535","13:36:45","03/02/2020",0.8990238,0.8561592,0.407133,0.1521429,0.5471388,0.8990238,2020-02-03 13:36:45,0.736253287078271
"144",144,34,34,"1545","13:37:10","03/02/2020",0.88625567,0.49162426,0.05336651,0.08769829,0.9397843,0.88625567,2020-02-03 13:37:10,0.551101345525417
"145",145,34,33.8,"2045","13:37:45","03/02/2020",0.87309982,0.42043158,0.05830426,0.07407325,0.93322155,0.87309982,2020-02-03 13:37:45,0.520929175672621
"146",146,34,33.7,"2545","13:38:10","03/02/2020",0.8411036,0.3197471,0.1096916,0.04786529,0.86958614,0.84110361,2020-02-03 13:38:10,0.465528298118478
"147",147,34.5,34.3,"1535","13:41:25","03/02/2020",0.8984989,0.8726362,0.5158089,0.1554031,0.4259215,0.8984989,2020-02-03 13:41:25,0.80720166935305
